	Ahr	Ahrr	Ar	Arnt	Arnt2	Arntl2	Atf3	Bach1	Barhl1	Batf2	Bcl6b	Casz1	Cebpd	Creb3l4	Creb5	Crem	Dbp	Ebf1	Ebf2	Ebf3	Elf1	Epas1	Erg	Esr1	Ets2	Fos	Fosb	Foxa1	Foxc1	Foxc2	Foxf1	Foxf2	Foxo1	Foxo3	Foxp1	Foxp2	Gata2	Gata6	Gli1	Gli2	Gli3	Glis1	Glis3	Hes1	Hey1	Hey2	Heyl	Hic1	Hic2	Hif3a	Hinfp	Hlf	Hnf1b	Hoxa2	Hoxa3	Hoxa5	Hoxb5	Hoxb6	Hoxc6	Hoxc8	Hoxd8	Hsf5	Irf4	Klf12	Klf3	Klf4	Klf5	Klf8	Klf9	Maf	Mef2c	Meis1	Meis2	Meox2	Mitf	Mxi1	Mycn	Nfe2	Nfil3	Nkx2-3	Nr1d1	Nr1d2	Nr1i3	Nr2f2	Nr3c1	Nr3c2	Osr1	Pax5	Pax6	Pbx1	Peg3	Plagl1	Pou4f1	Pou5f2	Prdm14	Prdm5	Prdm9	Rfx2	Rora	Rorc	Six5	Smad1	Sox13	Sox15	Sox17	Sox18	Sox4	Sox6	Sox8	Sox9	Sp6	Spib	Stat4	Stat5b	Tbx2	Tbx3	Tcf4	Tcf7l1	Tcf7l2	Tef	Tfcp2l1	Thra	Thrb	Tox	Tox2	Trps1	Vdr	Zbtb16	Zbtb46	Zbtb49	Zfp105	Zfp112	Zfp37	Zfp449	Zfp462	Zfp467	Zfp516	Zfp57	Zfp629	Zfp647	Zfp667	Zfp691	Zfp697	Zfp768	Zfp92
Klrc1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klrc2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kmo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	1.5	0	0	0	0	0	0	1.5	0	1.5	1.5
Ky	0	0	0	0	0	0	0	0	0	1.5	0	3.5	0	0	0	0	0	0	0	0	0	0	1.5	0	1.5	4.5	4.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5	0	0	0	3.5	3.5	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5	0	3.5	0	3.5	3.5	3.5	0	3.5	3.5	3.5	0	3.5	3.5	3.5	3.5	0	3.5	3.5	3.5
Lag3	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lama2	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	1.5	0	0	3.0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	1.5	1.5	0	0	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lamc1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0.5	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0.5	0	0.5	0.5
Lancl2	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	1.5	1.5	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lancl3	0	0	0	0	0	0	0	-1.0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.0	-2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-1.5	0	0	0	0	0	-0.5	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Laptm4b	0	0	1.5	1.0	1.0	1.0	1.5	1.5	0	0	0	4.5	0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	2.0	0	0	0	0	0	1.5	1.5	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	1.5	3.0	1.5	0	0.5	0	0	0	0	1.5	1.5	0	1.5	0	0	4.5	0	0	0	4.5	4.5	4.5	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5	0	3.0	3.0	0	0	1.5	1.5	1.5	0	1.5	0	0	0	0	4.5	0	4.5	0	4.5	4.5	4.5	0	4.5	4.5	4.5	1.5	4.5	4.5	4.5	4.5	0	4.5	4.5	4.5
Lats2	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lbp	0	0	0	0	0	0	0	0	0	0	1.5	1.5	0	0	0	0	0	1.5	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	1.5	0	0	0	1.5	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	1.5	1.5	0	1.5	1.5	0	0	0	0	0	0	1.5	0	1.5	0	1.5	1.5	1.5	0	1.5	1.5	1.5	0	1.5	1.5	1.5	1.5	0	1.5	1.5	1.5
Lclat1	0	0	-0.5	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0	-0.5	0	0	0	-0.5	-0.5	-0.5	-1.0	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0	0	-0.5	-0.5	0	0	-1.5	0	0	0	0	0	0	-1.5	-1.5	-0.5	0	-0.5	0	-0.5	-0.5	-0.5	0	-0.5	-0.5	-0.5	0	-0.5	-0.5	-0.5	-0.5	0	-0.5	-0.5	-0.5
Lcmt1	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	-0.5	-0.5	-0.5	-0.5	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	-0.5	0	-0.5	-0.5	-0.5	0	-0.5	-0.5	-0.5	0	-0.5	-0.5	-0.5	-0.5	0	-0.5	-0.5	-0.5
Lcp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ldhb	0	0	0	0	0	0	0	0	0	0	1.5	3.5	0	0	0	0	0	0	0	0	2.0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	1.5	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	3.5	0	0	0	3.5	3.5	3.5	1.5	0	0	1.5	0	0	0	0	0	0	0	0	0	6.0	1.5	0	0	0	0	0	1.5	1.5	0	0	0	0	0	0	3.5	0	3.5	0	3.5	3.5	3.5	0	3.5	3.5	3.5	0	3.5	3.5	3.5	3.5	0	3.5	3.5	3.5
Ldlrad3	0	0	1.5	0	0	0	0	0	0	1.5	0	3.0	1.5	0	0	0	0	1.5	1.5	1.5	0.5	0	3.0	0	3.0	6.0	6.0	0	0	0	1.5	1.5	3.5	3.5	0	0	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	1.5	1.5	1.5	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	0	1.5	0	0	0	0	0	0	0	0	0	0	0	1.5	0	1.5	1.5	0	0	1.5	0	3.0	0	0	0	3.0	3.0	3.0	1.5	0	0	1.5	0	1.5	1.5	1.5	1.5	0	1.5	1.5	1.5	1.5	1.5	1.5	1.5	0	0	1.5	1.5	1.5	0	0	0	3.0	0	0	3.0	0	3.0	0	3.0	3.0	3.0	0	3.0	3.0	3.0	0	3.0	3.0	3.0	3.0	0	3.0	3.0	3.0
Lef1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lepre1	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5	4.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lgr4	0	0	0	0	0	0	1.5	0	0	0	0	4.5	0	0	0	0	0	0	0	0	1.5	0	3.0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5	0	0	1.5	4.5	4.5	4.5	0	0	0	0	0	0	0	0	0	0	0	0	0	6.0	0	0	0	0	0	0	1.5	1.5	0	1.5	0	0	0	0	4.5	0	4.5	0	4.5	4.5	4.5	0	4.5	4.5	4.5	0	4.5	4.5	4.5	4.5	0	4.5	4.5	4.5
Lgr5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lhfp	0	0	0	0	0	0	0	0	0	0	1.5	4.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5	4.5	4.5	4.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5	1.5	0	0	4.5	4.5	4.5	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5	1.5	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	4.5	0	4.5	0	4.5	4.5	4.5	0	4.5	4.5	4.5	0	4.5	4.5	4.5	4.5	0	4.5	4.5	4.5
Lima1	0	0	0	0	0	0	1.5	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	1.5	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	3.0	3.0	3.0	3.0	1.5	1.5	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.5	7.5	7.5	7.5	7.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	3.0	3.0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	3.0	0	3.0	3.0	3.0	0	3.0	3.0	3.0	0	3.0	3.0	3.0	3.0	0	3.0	3.0	3.0
Lipg	0	0	0	0	0	0	1.5	0	0	0	0	1.5	1.5	0	0	1.5	0	0	0	0	0	0	1.5	0	1.5	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.0	6.0	6.0	6.0	6.0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	1.5	0	1.5	1.5	0	3.0	1.5	1.5	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	4.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	1.5	0	1.5	1.5	1.5	0	1.5	1.5	1.5	0	1.5	1.5	1.5	1.5	0	1.5	1.5	1.5
Liph	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	1.5	0	1.5	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lix1l	0	0	0	0	0	0	1.5	1.5	0	0	0	3.0	0	0	0	0	0	0	0	0	1.5	0	1.5	0	1.5	4.5	4.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	1.5	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.0	9.0	9.0	9.0	9.0	3.0	0	0	0	0	0	0	3.0	1.5	0	0	0	0	0	0.5	0	0	0	0	0	1.5	3.0	0	0	0	3.0	3.0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.5	0	1.5	1.5	0	0	0	3.0	3.0	0	0	0	0	0	0	3.0	0	3.0	0	3.0	3.0	3.0	0	3.0	3.0	3.0	1.5	3.0	3.0	3.0	3.0	0	3.0	3.0	3.0
Lmbr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lmo2	0	0	0	0	0	0	0	0	0	0	0	4.5	0	0	0	0	0	0	0	0	1.5	0	1.5	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	3.0	1.5	1.5	0	0	0	0	0	0	1.5	4.5	0	0	0	4.5	4.5	4.5	0	1.5	1.5	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	1.5	3.0	3.0	0	0	0	0	0	0	4.5	0	5.5	0	4.5	4.5	4.5	0	4.5	5.5	4.5	0	4.5	4.5	4.5	4.5	1.0	4.5	5.5	5.5
Lmo4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	1.5	0	1.5	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	1.5	0	1.5	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0
Lonrf1	0	0	1.5	0.5	0.5	0.5	1.5	1.5	0	0	1.5	9.0	0	0	0	1.5	0	1.5	1.5	1.5	1.5	0	4.5	0.5	4.5	1.5	1.5	0	0	0	0	0	0	0	0	0	0.5	0.5	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	1.5	1.5	0	1.5	0	0	0	0	0	0	0	0	0	0	1.5	0	0	12.0	12.0	12.0	12.0	12.0	0	0	0	0	0	0	0	3.0	1.5	0	0	0	0	0	0	1.5	1.5	1.5	1.5	0	0	9.0	0	0	0	9.0	9.0	9.0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.5	0	1.5	1.5	0	0	0	1.5	1.5	0	0	0	0	0	0	9.0	0	9.0	0	9.0	9.0	9.0	0	9.0	9.0	9.0	1.5	9.0	9.0	9.0	9.0	0	9.0	9.0	9.0
Lonrf3	0	0	2.5	1.0	1.0	1.0	1.5	0	0	0	0	4.5	0	0	0	0	1.5	0	0	0	1.5	0	1.5	1.0	1.5	3.0	3.0	0	0	0	0	0	0	0	0	0	2.0	2.0	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5	0	0	1.5	0	0	1.5	0	0	0	0	0	0	1.5	0	2.0	9.0	9.0	9.0	9.0	9.0	1.5	1.5	0	0	0	1.5	1.5	4.5	0	1.5	0	0	0	0	0	1.5	1.5	1.5	0	1.5	1.5	4.5	1.5	0	0	4.5	4.5	4.5	0	1.5	1.5	0	0	0	0	1.5	1.5	0	0	0	0	10.5	0	0	0	0	0	1.5	0	0	1.5	1.5	0	0	0	0	4.5	0	4.5	1.5	4.5	4.5	4.5	0	4.5	4.5	4.5	1.5	4.5	4.5	4.5	4.5	0	4.5	4.5	4.5
Lpcat4	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lphn2	0	0	0	0	0	0	1.5	1.5	0	1.5	0	3.0	0	0	0	0	0	1.5	1.5	1.5	0.5	0	1.5	0	1.5	4.5	4.5	0	0	0	0	0	0.5	0.5	0	0	0.5	0.5	3.0	3.0	3.0	3.0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	0	1.5	0	0	0	1.5	0	0	1.5	0	0	0	0	1.5	0	0	0	0	1.5	0	0	3.0	0	0	0	3.0	3.0	3.0	0	1.5	0	1.5	0	0	0	0	0	3.0	0	0	0	7.5	1.5	0	0	1.5	1.5	1.5	4.5	4.5	0	0	0	0	0	0	3.0	0	3.0	0	3.0	3.0	3.0	0	3.0	3.0	3.0	0	3.0	3.0	3.0	3.0	0	3.0	3.0	3.0
Lpin1	0	0	1.5	0	0	0	0	0	0	1.5	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	1.5	0	0	1.5	0	2.0	0	0	0	2.0	2.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	2.0	0	2.0	2.0	2.0	0	2.0	2.0	2.0	0	2.0	2.0	2.0	2.0	0	2.0	2.0	2.0
Lpin2	0	0	3.0	0	0	0	1.5	3.0	0	1.5	0	7.5	0	0	0	0	0	1.5	1.5	1.5	1.5	0	1.5	0.5	1.5	6.0	6.0	3.0	0	0	3.0	3.0	0.5	0.5	0	0	3.0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5	1.5	0	0	0	0	0	3.0	3.0	0	0	0	0	0	0.5	3.0	3.0	0	1.5	1.5	0	7.5	0	0	1.5	7.5	7.5	7.5	0	1.5	0	0	0	0	1.5	3.5	3.5	1.5	0	2.0	2.0	0	1.5	3.0	3.0	1.5	1.5	1.5	7.5	7.5	0	0	0	0	1.5	1.5	7.5	0	7.5	0	7.5	7.5	7.5	0	7.5	7.5	7.5	0	7.5	7.5	7.5	7.5	0	7.5	7.5	7.5
Lrp11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrp1b	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	1.5	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
